Epoch,TrainAcc,ValAcc,Loss
1,49.5526,49.946,0.0430198
2,49.6162,49.859,0.0429762
3,49.6455,49.862,0.0429754
4,49.6706,49.876,0.0429747
5,49.6802,49.879,0.0429743
6,49.6867,49.877,0.0429738
7,49.6915,49.961,0.0429733
8,49.7088,49.988,0.0429727
9,49.7087,50.017,0.0429721
10,49.7103,50.035,0.0429715
11,49.7231,50.036,0.0429708
12,49.724,50.066,0.04297
13,49.7102,50.051,0.0429692
14,49.7282,50.027,0.0429682
15,49.7388,50.025,0.0429672
16,49.728,50.007,0.0429661
17,49.7067,50.011,0.0429649
18,49.7497,49.964,0.0429636
19,49.756,49.92,0.0429623
20,49.7354,49.932,0.0429607
21,49.7148,49.985,0.0429589
22,49.739,49.882,0.0429566
23,49.7057,49.97,0.0429539
24,49.7123,50.079,0.0429505
25,49.7051,50.103,0.042946
26,49.7327,50.045,0.0429404
27,49.7648,50.014,0.042933
28,49.793,50.234,0.0429184
29,49.877,50.533,0.0428643
30,49.881,50.299,0.0429147
31,49.7091,50.33,0.0429141
32,49.8511,50.182,0.0428658
33,49.9567,50.371,0.0427973
34,49.9862,50.362,0.042765
35,50.0808,50.517,0.0427295
36,51.0143,51.085,0.042549
37,50.1791,50.111,0.0426981
38,49.8545,50.335,0.0428567
39,56.3052,84.899,0.0402348
40,55.3681,50.02,0.0424107
41,49.6998,50.013,0.0429446
42,49.6999,50.008,0.042939
43,49.6912,50.027,0.0429372
44,49.719,50.009,0.0429355
45,49.7184,49.983,0.0429339
46,49.7138,49.981,0.0429324
47,49.7371,49.938,0.0429309
48,49.73,49.956,0.0429293
49,49.71,50.017,0.0429277
50,49.7154,50.053,0.042926
51,49.7206,50.07,0.0429242
52,49.7146,50.189,0.0429223
53,49.7108,50.186,0.0429202
54,49.7354,50.196,0.0429179
55,49.7303,50.221,0.0429153
56,49.739,50.266,0.0429124
57,49.7563,50.266,0.0429089
58,49.7993,50.267,0.0429047
59,49.7896,50.313,0.0428994
60,49.8008,50.274,0.0428925
61,49.7995,50.229,0.0428826
62,49.8266,50.225,0.0428674
63,49.8982,50.177,0.0428439
64,50.0151,50.306,0.0428042
65,50.356,52.678,0.0426542
66,92.4416,100,0.0120387
67,99.0034,100,0.00122742
68,99.1995,100,0.000311634
69,99.1997,100,0.000195062
